food,Caloric Value,Fat,Carbohydrates
pasta with sliced franks in tomato sauce,227,6.0,32.0
lasagna,166,6.1,18.9
macaroni cheese,310,9.4,43.7
vegetable lasagna,316,13.7,32.2
spinach egg noodles cooked,211,2.5,38.8
cheese lasagna,316,13.0,33.6
pasta with tomato sauce,176,1.8,35.1
spinach pasta cooked,37,0.3,7.1
vegetable chicken soup,166,4.8,21.1
bean ham soup,198,2.5,33.5
cream of chicken soup,227,14.5,18.0
tomato soup canned,139,3.3,22.6
egg drop soup,65,1.5,10.3
scotch broth,197,6.4,23.0
cream of onion soup,268,12.8,31.7
chicken broth dry,10,0.2,1.1
vegetable soup with beef broth,162,3.8,26.3
chili with beans canned,287,14.1,30.5
beef noodle soup,168,6.2,17.9
consomme dry,17,0.2,1.9
chicken mushroom soup,126,6.1,15.1
beef vegetable soup,120,2.9,15.4
black bean soup,234,3.4,39.6
split pea soup with ham bacon,189,3.1,28.6
cream of mushroom soup,199,13.4,17.1
green pea soup,320,5.7,51.7
chicken broth soup,78,2.6,1.9
chicken mushroom chowder soup,431,23.7,38.3
chicken dumplings soup,235,13.4,14.7
chicken vegetable soup,148,5.6,17.0
turkey vegetable soup,72,3.0,8.6
wonton soup,71,0.6,11.7
beef stock,31,0.2,2.9
mushroom barley soup,186,5.5,29.3
gazpacho soup,70,0.4,6.6
beef mushroom soup,186,7.3,15.9
chicken rice soup,127,3.2,13.0
pepperpot soup,100,4.5,9.1
vegetable soup,149,4.0,24.6
chili beef soup,308,6.7,49.6
chicken soup,174,6.5,16.9
bean with frankfurters soup,188,7.0,22.0
pea soup,161,2.8,25.6
turkey soup,135,4.4,14.1
stockpot soup,201,7.8,23.1
hot sour soup,91,2.8,10.1
cheese soup,203,9.7,28.0
cream of potato soup,186,4.7,32.2
bean with bacon soup,106,2.1,16.4
fish stock,40,1.9,0.0
split pea soup with ham,381,8.9,56.2
beef broth soup,17,0.5,0.01
lentil soup with ham,139,2.8,20.2
tomato soup,98,0.7,22.5
fish broth,39,1.5,1.0
chili without beans canned,283,17.0,14.6
minestrone soup,167,5.0,22.6
clam chowder soup,154,4.4,24.5
tomato vegetable soup,54,0.8,9.9
cream of rice coup,127,0.2,28.1
cream of celery soup,181,11.2,17.7
chicken gravy,188,13.6,12.9
tomato rice soup,240,5.5,44.1
vegetable beef soup,128,2.0,9.6
tomato beef noodle soup,281,8.6,42.3
oyster stew soup,118,7.7,8.2
ramen noodle soup dry,371,13.3,53.9
chicken noodle soup,145,4.7,18.4
chicken bouillon dry,11,0.6,0.7
cream of asparagus soup,174,8.2,21.5
turkey noodle soup,139,4.0,17.3
cream of shrimp soup,181,10.4,16.5
bean with pork soup,335,11.5,44.1
chicken broth,12,0.5,1.0
beef broth powder,8,0.3,0.6
split pea soup,180,2.3,29.9
escarole soup,61,4.0,4.0
chicken stock,86,2.9,8.5
tomato bisque soup,248,5.0,47.7
shark fin soup,99,4.3,8.2
onion soup,113,3.5,16.4
chicken gumbo soup,113,2.9,16.8
crab soup,95,0.8,12.5
tripe soup,148,5.2,8.1
little india little lunch,164,10.6,2.0
original chicken sandwich chick fil a,125,5.1,0.0
sausage mcmuffin mcdonalds,383,24.2,28.2
sausage mcgriddles mcdonalds,421,24.0,42.2
crispy chicken drumstick kentucky fried chicken,70,3.0,0.0
chicken crispy drumsticks kentucky fried chicken,156,10.1,4.5
biscuit kentucky fried chicken,185,9.1,22.1
english muffin mcdonalds,97,2.3,2.9
french fries mcdonalds,378,18.1,49.8
hotdog,383,23.0,28.5
french fries burger king,207,9.2,28.6
original taco with beef cheese lettuce taco bell,158,8.8,13.7
hotdog with chili,296,13.4,31.3
chicken crispy wings kentucky fried chicken,148,10.1,5.1
